# Field minima and maxima
# Time            	field             	min               	location(min)     	max               	location(max)     
0.01              	nut               	6.6606509691e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.01              	U                 	(1.0000000000e+00 -3.0382367352e-17 -1.7218122947e-17)	(-2.5800000000e-01 -4.0000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 1.3432201747e-17 -2.8128396473e-19)	(-1.0800000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.01              	k                 	9.8684107923e-03	(7.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.01              	p                 	-2.6191392072e-16	(1.0920000000e+00 -8.5000000000e-01 8.0000000000e-01)	8.9261210034e-15	(-5.5800000000e-01 8.5000000000e-01 -3.5000000000e-01)
0.01              	omega             	1.4815985461e+01	(3.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.02              	nut               	6.6547004512e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.02              	U                 	(1.0000000000e+00 -1.2699686482e-16 -3.3108379237e-17)	(-5.5800000000e-01 -2.0000000000e-01 8.5000000000e-01)	(1.0000000000e+00 7.6011795246e-17 7.6701825555e-17)	(-5.5800000000e-01 -2.5000000000e-01 -8.0000000000e-01)
0.02              	k                 	9.7401064356e-03	(7.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.02              	p                 	-3.9207362727e-15	(3.4200000000e-01 8.0000000000e-01 -3.5000000000e-01)	4.4220977271e-15	(-5.5800000000e-01 4.0000000000e-01 -6.5000000000e-01)
0.02              	omega             	1.4636431053e+01	(3.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.03              	nut               	6.6488138255e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.03              	U                 	(1.0000000000e+00 -2.7822062462e-17 -1.6319512446e-16)	(-5.5800000000e-01 -7.5000000000e-01 -3.5000000000e-01)	(1.0000000000e+00 8.4803048892e-17 9.3123120705e-17)	(-5.5800000000e-01 -2.5000000000e-01 6.5000000000e-01)
0.03              	k                 	9.6149670728e-03	(6.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.03              	p                 	0.0000000000e+00	(1.1670000000e+00 -8.5000000000e-01 -8.5000000000e-01)	5.1715089798e-14	(-5.5800000000e-01 3.5000000000e-01 2.5000000000e-01)
0.03              	omega             	1.4461176561e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.04              	nut               	6.6429898389e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.04              	U                 	(1.0000000000e+00 -5.8626067077e-17 -8.6581080871e-17)	(3.9200000000e-01 6.5000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 6.7651246458e-17 2.0999769364e-17)	(3.9200000000e-01 -7.5000000000e-01 -7.0000000000e-01)
0.04              	k                 	9.4928785690e-03	(8.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.04              	p                 	-3.9435193426e-14	(-3.0800000000e-01 6.0000000000e-01 8.5000000000e-01)	8.4742178585e-16	(1.0920000000e+00 -8.5000000000e-01 -6.0000000000e-01)
0.04              	omega             	1.4290069354e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.05              	nut               	6.6372272714e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.05              	U                 	(1.0000000000e+00 -1.3539564606e-16 -1.1269894945e-16)	(-5.5800000000e-01 -5.0000000000e-01 -4.5000000000e-01)	(1.0000000000e+00 1.6184962309e-16 4.9455672506e-17)	(-2.0800000000e-01 -7.0000000000e-01 -8.5000000000e-01)
0.05              	k                 	9.3737321756e-03	(8.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.05              	p                 	-2.0310539820e-14	(-2.5800000000e-01 -7.5000000000e-01 -6.0000000000e-01)	4.2125558648e-15	(-5.8000000000e-02 7.5000000000e-01 8.5000000000e-01)
0.05              	omega             	1.4122963939e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.06              	nut               	6.6315249291e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.06              	U                 	(1.0000000000e+00 -7.6799859753e-17 -1.9076060859e-16)	(1.0920000000e+00 -8.5000000000e-01 -7.0000000000e-01)	(1.0000000000e+00 1.8676243698e-16 1.6835774839e-16)	(-5.5800000000e-01 -4.0000000000e-01 0.0000000000e+00)
0.06              	k                 	9.2574242177e-03	(1.0920000000e+00 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.06              	p                 	-7.2453950551e-15	(-5.0800000000e-01 2.0000000000e-01 6.5000000000e-01)	6.0432679950e-15	(5.9200000000e-01 -3.0000000000e-01 -5.5000000000e-01)
0.06              	omega             	1.3959721550e+01	(7.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.07              	nut               	6.6258816514e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.07              	U                 	(1.0000000000e+00 -9.2643875160e-17 -1.7904309256e-16)	(-5.5800000000e-01 -7.5000000000e-01 -7.5000000000e-01)	(1.0000000000e+00 1.0065402639e-16 1.8149143750e-16)	(-5.5800000000e-01 7.0000000000e-01 -3.0000000000e-01)
0.07              	k                 	9.1438558024e-03	(1.0920000000e+00 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.07              	p                 	-9.4901212081e-15	(-4.0800000000e-01 3.0000000000e-01 -3.0000000000e-01)	6.0146320548e-16	(1.0920000000e+00 -7.5000000000e-01 -8.5000000000e-01)
0.07              	omega             	1.3800209763e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.08              	nut               	6.6202962821e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.08              	U                 	(1.0000000000e+00 -1.2217254101e-16 -2.4141496294e-16)	(-5.5800000000e-01 -7.5000000000e-01 -7.5000000000e-01)	(1.0000000000e+00 5.1624495038e-17 2.2784785809e-16)	(-3.0800000000e-01 8.5000000000e-01 5.0000000000e-01)
0.08              	k                 	9.0329325476e-03	(1.0920000000e+00 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.08              	p                 	-6.9398626091e-15	(-5.5800000000e-01 8.5000000000e-01 8.0000000000e-01)	6.8430366065e-16	(1.0920000000e+00 -4.0000000000e-01 -8.5000000000e-01)
0.08              	omega             	1.3644302139e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.09              	nut               	6.6147677296e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.09              	U                 	(1.0000000000e+00 -1.8428109166e-16 -2.4005244733e-16)	(-5.5800000000e-01 -7.5000000000e-01 -7.5000000000e-01)	(1.0000000000e+00 6.1000955755e-17 2.1598971574e-16)	(2.4200000000e-01 5.0000000000e-01 -7.0000000000e-01)
0.09              	k                 	8.9245643287e-03	(1.0920000000e+00 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.09              	p                 	-4.1859392637e-15	(-3.0800000000e-01 -7.5000000000e-01 -5.0000000000e-01)	1.0657615364e-15	(8.9200000000e-01 8.0000000000e-01 -2.5000000000e-01)
0.09              	omega             	1.3491877890e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.1               	nut               	6.6092946914e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.1               	U                 	(1.0000000000e+00 -1.9949204818e-16 -2.0485201774e-16)	(-5.5800000000e-01 -7.5000000000e-01 -7.5000000000e-01)	(1.0000000000e+00 1.4443342118e-16 1.7082608460e-16)	(-5.0800000000e-01 -3.0000000000e-01 -8.0000000000e-01)
0.1               	k                 	8.8186650420e-03	(1.0920000000e+00 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.1               	p                 	-5.6044931299e-15	(-1.0800000000e-01 8.5000000000e-01 -8.5000000000e-01)	6.6296567909e-16	(9.4200000000e-01 3.5000000000e-01 5.0000000000e-02)
0.1               	omega             	1.3342821562e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.11              	nut               	6.6038762271e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.11              	U                 	(1.0000000000e+00 -1.8459962189e-16 -3.4131535226e-16)	(-3.0800000000e-01 8.5000000000e-01 -4.5000000000e-01)	(1.0000000000e+00 1.4573744093e-16 1.9254796496e-16)	(-3.0800000000e-01 8.5000000000e-01 5.0000000000e-01)
0.11              	k                 	8.7151523841e-03	(8.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.11              	p                 	-4.4776924388e-15	(-4.5800000000e-01 6.5000000000e-01 -8.5000000000e-01)	8.6993584847e-16	(6.9200000000e-01 -1.5000000000e-01 -4.0000000000e-01)
0.11              	omega             	1.3197022752e+01	(8.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.12              	nut               	6.5985112854e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.12              	U                 	(1.0000000000e+00 -1.6581925158e-16 -2.1357435349e-16)	(-2.5800000000e-01 -7.0000000000e-01 -5.0000000000e-01)	(1.0000000000e+00 2.2273591240e-16 1.9200094146e-16)	(-5.5800000000e-01 7.0000000000e-01 -3.0000000000e-01)
0.12              	k                 	8.6139476452e-03	(4.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.12              	p                 	-2.8216804354e-15	(-5.0800000000e-01 8.5000000000e-01 8.5000000000e-01)	2.6580122779e-15	(4.2000000000e-02 -5.0000000000e-01 8.5000000000e-01)
0.12              	omega             	1.3054375827e+01	(8.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.13              	nut               	6.5931976382e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.13              	U                 	(1.0000000000e+00 -2.4082875877e-16 -1.9010447413e-16)	(-2.5800000000e-01 -6.0000000000e-01 -4.5000000000e-01)	(1.0000000000e+00 1.7393540325e-17 1.5364343284e-16)	(-1.0800000000e-01 5.0000000000e-01 -8.5000000000e-01)
0.13              	k                 	8.5149755158e-03	(4.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.13              	p                 	-1.8255124474e-15	(9.9200000000e-01 8.5000000000e-01 8.5000000000e-01)	4.8008514225e-15	(-5.5800000000e-01 2.0000000000e-01 7.5000000000e-01)
0.13              	omega             	1.2914779674e+01	(8.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.14              	nut               	6.5879349476e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.14              	U                 	(1.0000000000e+00 -3.7761928180e-16 -2.4708851813e-16)	(9.4200000000e-01 -3.5000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 8.1184730695e-17 1.2120147794e-16)	(1.9200000000e-01 -5.0000000000e-01 -7.5000000000e-01)
0.14              	k                 	8.4181639058e-03	(4.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.14              	p                 	-7.5548341588e-15	(-4.5800000000e-01 8.5000000000e-01 8.5000000000e-01)	1.3248053023e-15	(5.9200000000e-01 -8.5000000000e-01 -7.5000000000e-01)
0.14              	omega             	1.2778137459e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.15              	nut               	6.5827221891e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.15              	U                 	(1.0000000000e+00 -2.7819536747e-16 -2.0787517911e-16)	(-2.5800000000e-01 -6.0000000000e-01 -4.5000000000e-01)	(1.0000000000e+00 2.0474404396e-16 2.1508583896e-16)	(1.9200000000e-01 7.5000000000e-01 -5.0000000000e-01)
0.15              	k                 	8.3234437752e-03	(5.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.15              	p                 	-5.0236832271e-16	(1.1420000000e+00 0.0000000000e+00 6.5000000000e-01)	1.1689842959e-14	(-5.5800000000e-01 8.5000000000e-01 2.5000000000e-01)
0.15              	omega             	1.2644356402e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.16              	nut               	6.5775583759e-04	(-2.5800000000e-01 6.0000000000e-01 5.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.16              	U                 	(1.0000000000e+00 -2.8394283963e-16 -2.1353998165e-16)	(3.9200000000e-01 -8.5000000000e-01 -4.5000000000e-01)	(1.0000000000e+00 1.1324214646e-17 1.7010796920e-16)	(4.2000000000e-02 -5.0000000000e-01 6.0000000000e-01)
0.16              	k                 	8.2307489747e-03	(1.0920000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.16              	p                 	-5.3289211796e-15	(-5.5800000000e-01 7.5000000000e-01 -8.5000000000e-01)	2.1396588377e-15	(8.4200000000e-01 -8.5000000000e-01 8.5000000000e-01)
0.16              	omega             	1.2513347571e+01	(1.0920000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.17              	nut               	6.5724096213e-04	(-3.0800000000e-01 8.5000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.17              	U                 	(1.0000000000e+00 -2.8049701265e-16 -2.8618864824e-16)	(-2.5800000000e-01 8.5000000000e-01 -4.5000000000e-01)	(1.0000000000e+00 2.0886848296e-16 1.9857081253e-16)	(3.4200000000e-01 5.5000000000e-01 -7.0000000000e-01)
0.17              	k                 	8.1400160972e-03	(8.4200000000e-01 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.17              	p                 	-6.0915032424e-15	(-5.0800000000e-01 -8.5000000000e-01 8.5000000000e-01)	9.6721045406e-16	(1.0920000000e+00 8.5000000000e-01 -8.5000000000e-01)
0.17              	omega             	1.2385025678e+01	(1.0920000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.18              	nut               	6.5673073745e-04	(-3.0800000000e-01 8.5000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.18              	U                 	(1.0000000000e+00 -2.9196960452e-16 -2.3291472329e-16)	(4.4200000000e-01 -8.5000000000e-01 -4.0000000000e-01)	(1.0000000000e+00 2.8717931245e-16 3.4382218279e-16)	(-3.5800000000e-01 7.0000000000e-01 7.0000000000e-01)
0.18              	k                 	8.0511843370e-03	(1.0920000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.18              	p                 	-4.9861482689e-15	(-5.0800000000e-01 -8.5000000000e-01 -7.5000000000e-01)	8.9489688451e-16	(1.0420000000e+00 -8.5000000000e-01 -8.5000000000e-01)
0.18              	omega             	1.2259308902e+01	(1.0920000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.19              	nut               	6.5622594500e-04	(-3.0800000000e-01 8.5000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.19              	U                 	(1.0000000000e+00 -1.9841448425e-16 -4.2097579569e-16)	(2.4200000000e-01 8.5000000000e-01 2.0000000000e-01)	(1.0000000000e+00 4.7617296559e-16 1.6894231195e-16)	(7.4200000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.19              	k                 	7.9641953587e-03	(1.0920000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.19              	p                 	-8.0110559894e-15	(-4.5800000000e-01 -8.5000000000e-01 -8.5000000000e-01)	8.0147202339e-16	(1.0920000000e+00 -6.5000000000e-01 8.5000000000e-01)
0.19              	omega             	1.2136118707e+01	(1.0920000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.2               	nut               	6.5572717649e-04	(-3.0800000000e-01 8.5000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.2               	U                 	(1.0000000000e+00 -2.4923328599e-16 -2.2404413973e-16)	(-3.5800000000e-01 -8.0000000000e-01 -6.5000000000e-01)	(1.0000000000e+00 1.0338572225e-16 1.8512831099e-16)	(2.9200000000e-01 5.5000000000e-01 -7.0000000000e-01)
0.2               	k                 	7.8789931736e-03	(8.4200000000e-01 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.2               	p                 	-1.0178166355e-14	(-3.5800000000e-01 -8.5000000000e-01 8.5000000000e-01)	3.8622971525e-16	(1.1420000000e+00 0.0000000000e+00 -8.5000000000e-01)
0.2               	omega             	1.2015379686e+01	(1.0920000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.21              	nut               	6.5521042578e-04	(-3.0800000000e-01 8.5000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.21              	U                 	(1.0000000000e+00 -4.4788061967e-16 -1.4479870165e-16)	(3.9200000000e-01 -7.0000000000e-01 -4.5000000000e-01)	(1.0000000000e+00 5.3771078321e-16 1.5670982813e-16)	(7.4200000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.21              	k                 	7.7955240232e-03	(8.4200000000e-01 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.21              	p                 	-6.9157401154e-16	(1.0920000000e+00 -5.5000000000e-01 4.0000000000e-01)	5.1907369381e-15	(-5.5800000000e-01 2.0000000000e-01 -1.0000000000e-01)
0.21              	omega             	1.1897019400e+01	(1.0920000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.22              	nut               	6.5470184159e-04	(-3.0800000000e-01 8.5000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.22              	U                 	(1.0000000000e+00 -4.3985683979e-16 -1.6852220947e-16)	(-4.5800000000e-01 -8.0000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 2.4628745672e-16 5.8781853070e-16)	(4.4200000000e-01 8.5000000000e-01 -6.0000000000e-01)
0.22              	k                 	7.7137362694e-03	(8.4200000000e-01 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.22              	p                 	-5.3703020952e-15	(-3.0800000000e-01 8.5000000000e-01 -8.5000000000e-01)	1.5483743446e-15	(7.9200000000e-01 -8.5000000000e-01 8.0000000000e-01)
0.22              	omega             	1.1780968239e+01	(1.0920000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.23              	nut               	6.5420435405e-04	(-3.0800000000e-01 8.0000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.23              	U                 	(1.0000000000e+00 -4.6137521219e-16 -2.1493484114e-16)	(-4.5800000000e-01 -8.0000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 5.0094454270e-16 1.9193733085e-16)	(7.9200000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.23              	k                 	7.6335802919e-03	(8.4200000000e-01 8.0000000000e-01 8.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.23              	p                 	-1.0188312766e-14	(-2.5800000000e-01 -8.5000000000e-01 8.5000000000e-01)	5.3192049641e-16	(1.0920000000e+00 6.5000000000e-01 8.5000000000e-01)
0.23              	omega             	1.1667159280e+01	(1.0920000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.24              	nut               	6.5372115790e-04	(-3.0800000000e-01 8.0000000000e-01 8.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.24              	U                 	(1.0000000000e+00 -1.1584214651e-16 -3.3820352899e-16)	(-1.0800000000e-01 6.0000000000e-01 -3.0000000000e-01)	(1.0000000000e+00 2.8828161362e-16 2.9805726419e-16)	(6.4200000000e-01 -8.5000000000e-01 5.0000000000e-01)
0.24              	k                 	7.5550083909e-03	(1.0920000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.24              	p                 	-1.0466865312e-15	(7.4200000000e-01 2.5000000000e-01 5.0000000000e-01)	5.3137977552e-15	(-5.5800000000e-01 -2.0000000000e-01 -1.5000000000e-01)
0.24              	omega             	1.1555528165e+01	(1.0920000000e+00 8.0000000000e-01 8.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.25              	nut               	6.5325384773e-04	(-2.5800000000e-01 8.0000000000e-01 8.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.25              	U                 	(1.0000000000e+00 -1.5115589093e-16 -4.5243848769e-16)	(5.9200000000e-01 -7.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 5.8941343858e-16 1.7152141259e-16)	(7.9200000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.25              	k                 	7.4779746951e-03	(1.0920000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.25              	p                 	-5.4575299149e-15	(-4.5800000000e-01 -8.5000000000e-01 -8.5000000000e-01)	1.2248950498e-15	(5.9200000000e-01 -8.5000000000e-01 8.5000000000e-01)
0.25              	omega             	1.1446012972e+01	(1.0920000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.26              	nut               	6.5275182309e-04	(-2.5800000000e-01 8.0000000000e-01 8.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.26              	U                 	(1.0000000000e+00 -1.4494316504e-16 -4.3142848529e-16)	(5.9200000000e-01 -7.5000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 5.1951379223e-16 2.2003032910e-16)	(8.4200000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.26              	k                 	7.4024350755e-03	(1.0920000000e+00 8.5000000000e-01 8.0000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.26              	p                 	-1.2607341207e-14	(-4.5800000000e-01 5.0000000000e-02 -1.0000000000e-01)	3.9497885966e-16	(1.0920000000e+00 -6.5000000000e-01 8.5000000000e-01)
0.26              	omega             	1.1338554108e+01	(1.0920000000e+00 8.5000000000e-01 8.0000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.27              	nut               	6.5225659859e-04	(-2.5800000000e-01 8.0000000000e-01 8.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
